prename,postname,model,cart,reverse,delay,threshold,slope,power,saturation,scale,mode
a3,L3,power_gpot_gpot,0,0,1,-0.05284,0.5,1,0.01,1,0
a4,L3,power_gpot_gpot,0,0,1,-0.05284,0.5,1,0.01,3,0
a5,L3,power_gpot_gpot,0,0,1,-0.05284,0.5,1,0.01,5,0
a6,L3,power_gpot_gpot,0,0,1,-0.05284,0.5,1,0.01,1,0
a1,T1,power_gpot_gpot,0,0,1,-0.05284,0.5,1,0.06,8,0
a2,T1,power_gpot_gpot,0,0,1,-0.05284,0.5,1,0.06,6,0
a3,T1,power_gpot_gpot,0,0,1,-0.05284,0.5,1,0.06,7,0
a4,T1,power_gpot_gpot,0,0,1,-0.05284,0.5,1,0.06,12,0
a5,T1,power_gpot_gpot,0,0,1,-0.05284,0.5,1,0.06,3,0
a6,T1,power_gpot_gpot,0,0,1,-0.05284,0.5,1,0.06,13,0
L2,L4,power_gpot_gpot,0,0,1,-0.0505,2,1,0.03,4,0
L2,L5,power_gpot_gpot,0,0,1,-0.0505,2,1,0.01,1,0
L2,R1,power_gpot_gpot,0,0,1,-0.0505,1,1,0.02,1,1
L2,R2,power_gpot_gpot,0,0,1,-0.0505,1,1,0.02,1,1
L2,L1,power_gpot_gpot,0,0,1,-0.0505,1,1,0.02,3,0
L4,R5,power_gpot_gpot,0,0,1,-0.0505,0.5,1,0.1,1,1
L4,L2,power_gpot_gpot,0,0,1,-0.0505,0.5,1,0.1,2,0
C2,L2,power_gpot_gpot,0,-0.07,1,-0.05,1,1,0.02,3,0
C2,a1,power_gpot_gpot,0,-0.07,1,-0.05,1,1,0.02,1,0
C2,a3,power_gpot_gpot,0,-0.07,1,-0.05,1,1,0.02,2,0
C2,a5,power_gpot_gpot,0,-0.07,1,-0.05,1,1,0.02,2,0
C2,a6,power_gpot_gpot,0,-0.07,1,-0.05,1,1,0.02,1,0
C3,L1,power_gpot_gpot,0,-0.07,1,-0.05,1,1,0.02,3,0
C3,L2,power_gpot_gpot,0,-0.07,1,-0.05,1,1,0.02,5,0
C3,a1,power_gpot_gpot,0,-0.07,1,-0.05,1,1,0.02,1,0
C3,a2,power_gpot_gpot,0,-0.07,1,-0.05,1,1,0.02,3,0
C3,a3,power_gpot_gpot,0,-0.07,1,-0.05,1,1,0.02,2,0
C3,a4,power_gpot_gpot,0,-0.07,1,-0.05,1,1,0.02,2,0
C3,a5,power_gpot_gpot,0,-0.07,1,-0.05,1,1,0.02,2,0
C3,a6,power_gpot_gpot,0,-0.07,1,-0.05,1,1,0.02,3,0
L4,R3,power_gpot_gpot,5,0,1,-0.0505,2,1,0.1,2,1
L4,R4,power_gpot_gpot,5,0,1,-0.0505,2,1,0.1,1,1
L4,L1,power_gpot_gpot,5,0,1,-0.0505,2,1,0.1,1,0
L4,L2,power_gpot_gpot,5,0,1,-0.0505,2,1,0.1,4,0
L4,L4,power_gpot_gpot,5,0,1,-0.0505,2,1,0.05,1,0
L4,L5,power_gpot_gpot,5,0,1,-0.0505,1,1,0.5,2,0
L4,R1,power_gpot_gpot,6,0,1,-0.0505,1,1,0.1,1,1
L4,R2,power_gpot_gpot,6,0,1,-0.0505,1,1,0.1,1,1
L4,R3,power_gpot_gpot,6,0,1,-0.0505,1,1,0.1,1,1
L4,R5,power_gpot_gpot,6,0,1,-0.0505,1,1,0.1,2,1
L4,R6,power_gpot_gpot,6,0,1,-0.0505,1,1,0.1,1,1
L4,L2,power_gpot_gpot,6,0,1,-0.0505,0.5,1,0.2,3,0
L4,L3,power_gpot_gpot,6,0,1,-0.0505,0.5,1,0.05,1,0
L4,L4,power_gpot_gpot,6,0,1,-0.0505,0.5,1,0.05,1,0
